Latitud,Longitud,ciudad,timezone_offset,Temperatura Actual,Sensacion termica actual,Presion actual,current.humidity,Punto de Rocio actual,current.uvi,current.clouds,Visibilidad Actual,Velocidad del viento actual,Grados del Viento actual,Rafaga del viento,current.rain.1h,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,rain.1h,id,main,description,icon,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,current.dt,current.sunset
25.0478,121.5319,Taipei,28800,29.3,31.72,1003,61,21.0,0.2,75,10000,2.57,260,,,1691452800,30.49,32.16,1000,52,19.52,1.42,75,10000,3.6,260,,,803,Clouds,broken clouds,04d,803,Clouds,broken clouds,04d,2023-08-08 19:19:21,2023-08-09 07:34:15
25.0478,121.5319,Taipei,28800,29.57,31.68,1000,58,20.43,0.09,75,10000,3.6,310,,,1691366400,31.23,32.6,999,48,18.92,3.01,40,10000,4.63,280,,,802,Clouds,scattered clouds,03d,803,Clouds,broken clouds,04d,2023-08-07 19:19:21,2023-08-08 07:34:58
25.0478,121.5319,Taipei,28800,29.23,31.27,999,59,20.39,0.2,75,10000,3.6,280,,,1691280000,30.09,32.22,998,56,20.35,3.07,40,10000,2.06,210,,,802,Clouds,scattered clouds,03d,803,Clouds,broken clouds,04d,2023-08-06 19:19:21,2023-08-07 07:35:39
25.0478,121.5319,Taipei,28800,28.56,33.54,999,80,24.77,0.21,75,10000,2.57,300,,,1691193600,28.89,29.29,999,48,16.79,1.64,75,10000,5.66,290,,0.75,500,Rain,light rain,10d,803,Clouds,broken clouds,04d,2023-08-05 19:19:21,2023-08-06 07:36:19
25.0478,121.5319,Taipei,28800,28.93,33.33,1000,74,23.83,0.11,75,10000,7.72,240,,0.75,1691107200,29.63,34.15,998,70,23.57,0.0,100,10000,8.28,255,15.48,4.21,502,Rain,heavy intensity rain,10d,500,Rain,light rain,10d,2023-08-04 19:19:21,2023-08-05 07:36:58
-34.6132,-58.3772,Buenos Aires,-10800,12.46,11.85,1027,80,9.11,0.0,0,10000,7.6,110,0.0,,1691452800,8.66,5.04,1031,67,2.88,0.0,75,10000,7.6,110,0.0,,803,Clouds,broken clouds,04n,800,Clear,clear sky,01n,2023-08-08 19:19:21,2023-08-08 18:17:17
-34.6132,-58.3772,Buenos Aires,-10800,9.05,5.55,1031,63,2.39,0.0,40,10000,7.6,110,0.0,,1691366400,15.93,15.48,1014,73,11.1,0.0,100,9000,2.24,190,0.0,,804,Clouds,overcast clouds,04n,802,Clouds,scattered clouds,03n,2023-08-07 19:19:21,2023-08-07 18:16:33
-34.6132,-58.3772,Buenos Aires,-10800,17.16,16.86,1012,74,12.49,0.0,0,9000,2.24,190,0.0,,1691280000,14.25,13.79,1014,79,10.66,0.0,75,10000,8.94,140,15.2,,803,Clouds,broken clouds,04n,800,Clear,clear sky,01n,2023-08-06 19:19:21,2023-08-06 18:15:48
-34.6132,-58.3772,Buenos Aires,-10800,13.81,13.18,1015,74,9.26,0.0,0,10000,8.94,140,15.2,,1691193600,13.07,11.76,1020,51,3.17,0.0,0,10000,8.94,140,15.2,,800,Clear,clear sky,01n,800,Clear,clear sky,01n,2023-08-05 19:19:21,2023-08-05 18:15:04
-34.6132,-58.3772,Buenos Aires,-10800,14.29,13.05,1020,49,3.73,0.0,13,10000,8.94,140,15.2,,1691107200,10.83,9.61,1022,63,4.08,0.52,66,10000,4.1,90,5.88,,803,Clouds,broken clouds,04n,801,Clouds,few clouds,02n,2023-08-04 19:19:21,2023-08-04 18:14:20
